plant_no,plant_description,short_description,charge_type,clock_unit,has_clock,ticket_1_required,ticket_2_required,category_1,category_2,category_3,category_4,category_5,category_6,is_active
1,1 - Traffic Cone (1m),Traffic Cone (1m),No.,,,,,,,,,,,TRUE
10,10 - Lawnmower Gianni Ferrari GTS 220 DW (2021),Lawnmower Gianni Ferrari GTS 220 DW (2021),Hour,,,,,,,,,,,TRUE
11,11 - Tractor International 784 (NIC 462),Tractor International 784 (NIC 462),Hour,,,,,,,,,,,TRUE
14,14 - Forflift JCB (96-KE-6232),Forflift JCB (96-KE-6232),Hour,Hours,TRUE,Forklift,,,,,,TRUE,,TRUE
15,15 - Excavator JCB 3CX (97-MH-3692),Excavator JCB 3CX (97-MH-3692),Hour,Hours,TRUE,Excavator 180,,,TRUE,,,,,TRUE
18,18 - Excavator JCB 3CX (01-KE-10392),Excavator JCB 3CX (01-KE-10392),Hour,Hours,TRUE,Excavator 180,,,TRUE,,,,,TRUE
20,20 - Excavator Hitachi EX75-5 (2001),Excavator Hitachi EX75-5 (2001),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
22,22 - Dumper Barford 6 Tonne (99-D-70821),Dumper Barford 6 Tonne (99-D-70821),Hour,Hours,TRUE,Site Dumper,,TRUE,,,,,,TRUE
24,24 - Tractor J.D. 6900 (97-KE-7335),Tractor J.D. 6900 (97-KE-7335),Hour,Hours,TRUE,,,TRUE,,,,,,TRUE
25,25 - Audi A6 (162-WW-1890),Audi A6 (162-WW-1890),Hour,,,,,,,,,,,TRUE
30,30 - Roller Bomag BW 65H (0.68 Tonne),Roller Bomag BW 65H (0.68 Tonne),Hour,,,,,,,,,,,TRUE
31,31 - Roadsaw Dimas FS3100D,Roadsaw Dimas FS3100D,Hour,Hours,TRUE,,,,,,,,,TRUE
33,33 - Tractor Fastrac 8250 (06-KE-9815),Tractor Fastrac 8250 (06-KE-9815),Hour,Hours,TRUE,,,TRUE,,,,,,TRUE
36,36 - Van Hiace (00-OY-2913),Van Hiace (00-OY-2913),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
38,38 - Tractor Fastrac 8250 (07-KE-5042),Tractor Fastrac 8250 (07-KE-5042),Hour,Hours,TRUE,,,TRUE,,,,,,TRUE
39,39 - Mercedes Benz GLC 200D (211-KE-1003),Mercedes Benz GLC 200D (211-KE-1003),Hour,,,,,,,,,,,TRUE
40,40 - Car Audi A4 (05-CN-1256),Car Audi A4 (05-CN-1256),Hour,,,,,,,,,,,TRUE
41,41 - Tractor J.D. 6920 (06-KE-6143),Tractor J.D. 6920 (06-KE-6143),Hour,Hours,TRUE,,,TRUE,,,,,,TRUE
43,43 - Jeep Land Rover (141-D-27340),Jeep Land Rover (141-D-27340),Hour,,,,,TRUE,,,,,,TRUE
47,47 - Traffic Control Stop/Go,Traffic Control Stop/Go,Hour,,,,,,,,,,,TRUE
48,48 - Mercedes Benz GLC 220D (251-KE-602),Mercedes Benz GLC 220D (251-KE-602),Hour,,,,,,,,,,,TRUE
49,49 - Traffic Lights Firh (Steel),Traffic Lights Firh (Steel),Hour,,,,,,,,,,,TRUE
50,50 - Traffic Lights Firh (Steel),Traffic Lights Firh (Steel),Hour,,,,,,,,,,,TRUE
51,51 - Excavator New Holland E30-2 SR (2007),Excavator New Holland E30-2 SR (2007),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
53,53 - Snow Plough Romaquip,Snow Plough Romaquip,Hour,,,,,,,,,,,TRUE
54,54 - Snow Plough Bunce,Snow Plough Bunce,Hour,,,,,,,,,,,TRUE
55,55 - Snow Plough Bunce,Snow Plough Bunce,Hour,,,,,,,,,,,TRUE
56,56 - Traffic Lights Dobio (Plastic),Traffic Lights Dobio (Plastic),Hour,,,,,,,,,,,TRUE
57,57 - Traffic Lights Dobio (Plastic),Traffic Lights Dobio (Plastic),Hour,,,,,,,,,,,TRUE
59,59 - Crusader Mixer Asphalt 18cwt,Crusader Mixer Asphalt 18cwt,Hour,,,,,,,,,,,TRUE
60,60 - Excavator Case CX225 SR (2007),Excavator Case CX225 SR (2007),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
62,62 - Excavator Case CX75 SR (2008),Excavator Case CX75 SR (2008),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
63,"63 - Water Pump (Towed) 6""","Water Pump (Towed) 6""",Hour,Hours,TRUE,,,,,,,,,TRUE
65,65 - Van Sprinter CDI 311 (06-D-65977),Van Sprinter CDI 311 (06-D-65977),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
66,66 - Mercedes Benz S350 (132-WD-362),Mercedes Benz S350 (132-WD-362),Hour,,,,,,,,,,,TRUE
69,69 - Van Hiace (07-OY-3338),Van Hiace (07-OY-3338),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
75,75 - Excavator Case CX50 (2013),Excavator Case CX50 (2013),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
76,76 - Compressor Atlas Copco XAS47 (2013) (2.6 m³/min),Compressor Atlas Copco XAS47 (2013) (2.6 m³/min),Hour,Hours,TRUE,,,,,,TRUE,,,TRUE
77,77 - Excavator Case CX75 SR (2013),Excavator Case CX75 SR (2013),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
78,78 - Planer Wirtgen W600DC (2007),Planer Wirtgen W600DC (2007),Hour,Hours,TRUE,,,,TRUE,,,,,TRUE
80,80 - Roller Hamm HD8VV (2011) (1.58 Tonne),Roller Hamm HD8VV (2011) (1.58 Tonne),Hour,Hours,TRUE,,,,,,,,,TRUE
81,81 - Compressor Atlas Copco XAS47 (2013) (2.6 m³/min),Compressor Atlas Copco XAS47 (2013) (2.6 m³/min),Hour,Hours,TRUE,,,,,,TRUE,,,TRUE
85,85 - Van Sprinter CDI 311 (08-D 42104),Van Sprinter CDI 311 (08-D 42104),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
94,94 - Anti-Vandal Welfare Unit (24' x 10'),Anti-Vandal Welfare Unit (24' x 10'),Day,,,,,,,,,,,TRUE
95,95 - Anti-Vandal Office Unit (20' x 10'),Anti-Vandal Office Unit (20' x 10'),Day,,,,,,,,,,,TRUE
97,97 - Truck Hino Tipper (07-WW-3949),Truck Hino Tipper (07-WW-3949),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
99,99 - Truck DAF FA45 180 Tar Sprayer/Combi (06-C-26909),Truck DAF FA45 180 Tar Sprayer/Combi (06-C-26909),Hour,,TRUE,Driver CPC,,TRUE,,,,,,TRUE
100,100 - Excavator Case 590ST (141-KE-3359),Excavator Case 590ST (141-KE-3359),Hour,Hours,TRUE,Excavator 180,,,TRUE,,,,,TRUE
101,101 - Excavator Case CX145 SD (2014),Excavator Case CX145 SD (2014),Hour,Hours,TRUE,Excavator 360,,,TRUE,,,,,TRUE
102,102 - Trench Roller Wacker RTSC2 (1.45 Tonne),Trench Roller Wacker RTSC2 (1.45 Tonne),Hour,Hours,TRUE,,,,,,,,,TRUE
103,103 - Roller Bomag BW 65H (0.68 Tonne),Roller Bomag BW 65H (0.68 Tonne),Hour,,,,,,,,,,,TRUE
104,104 - Van Sprinter CDI 313 (11-KE-5645),Van Sprinter CDI 313 (11-KE-5645),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
105,105 - Van Caddy (09-KE-16929),Van Caddy (09-KE-16929),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
107,107 - Van Hiace (08-C-14338),Van Hiace (08-C-14338),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
108,108 - Van Sprinter CDI 313 - (10-KE-17246),Van Sprinter CDI 313 - (10-KE-17246),Hour,,TRUE,,,TRUE,,,,,TRUE,TRUE
109,109 - Footboard Tricel (1m x 1m),Footboard Tricel (1m x 1m),No.,,,,,,,,,,,TRUE
110,110 - Road Plates - Steel,Road Plates - Steel,No.,,,,,,,,,,,TRUE
