position,column_name,data_type,char_max_length,is_nullable,numeric_precision,numeric_scale,datetime_precision,column_default
1,"id","uuid","","NO","","","","gen_random_uuid()"
2,"user_id","uuid","","NO","","","",""
3,"project_id","uuid","","YES","","","",""
4,"mechanic_large_plant_id","uuid","","YES","","","",""
5,"work_date","date","","NO","","","0",""
6,"start_time","timestamp with time zone","","YES","","","6",""
7,"finish_time","timestamp with time zone","","YES","","","6",""
9,"submitted_at","timestamp with time zone","","YES","","","6",""
10,"submitted_by","uuid","","YES","","","",""
11,"supervisor_id","uuid","","YES","","","",""
12,"supervisor_approved_at","timestamp with time zone","","YES","","","6",""
13,"supervisor_edited_before_approval","boolean","","YES","","","","false"
14,"admin_id","uuid","","YES","","","",""
15,"admin_approved_at","timestamp with time zone","","YES","","","6",""
16,"admin_edited_before_approval","boolean","","YES","","","","false"
17,"approved_by","uuid","","YES","","","",""
18,"approved_at","timestamp with time zone","","YES","","","6",""
19,"travel_to_site_min","integer","","YES","32","0","","0"
20,"travel_from_site_min","integer","","YES","32","0","","0"
21,"distance_from_home","numeric","","YES","10","2","",""
22,"travel_time_text","text","","YES","","","",""
23,"on_call","boolean","","YES","","","","false"
24,"misc_allowance_min","integer","","YES","32","0","","0"
25,"allowance_holiday_hours_min","integer","","YES","32","0","","0"
26,"allowance_non_worked_ft_min","integer","","YES","32","0","","0"
27,"allowance_non_worked_th_min","integer","","YES","32","0","","0"
28,"allowance_non_worked_dt_min","integer","","YES","32","0","","0"
29,"user_absenteeism_reason","text","","YES","","","",""
30,"absenteeism_notice_date","date","","YES","","","0",""
31,"supervisor_absenteeism_reason","text","","YES","","","",""
32,"concrete_ticket_no","integer","","YES","32","0","",""
33,"concrete_mix_type","text","","YES","","","",""
34,"concrete_qty","numeric","","YES","10","2","",""
35,"comments","text","","YES","","","",""
36,"submission_lat","double precision","","YES","53","","",""
37,"submission_lng","double precision","","YES","53","","",""
38,"submission_gps_accuracy","integer","","YES","32","0","",""
39,"submission_datetime","timestamp with time zone","","YES","","","6","now()"
40,"revision_number","integer","","NO","32","0","","0"
41,"last_revised_at","timestamp with time zone","","YES","","","6",""
42,"last_revised_by","uuid","","YES","","","",""
43,"offline_created","boolean","","YES","","","","false"
44,"synced","boolean","","YES","","","","false"
45,"offline_id","text","","YES","","","",""
46,"created_at","timestamp with time zone","","NO","","","6","now()"
47,"updated_at","timestamp with time zone","","NO","","","6","now()"
49,"status","USER-DEFINED","","NO","","","","'submitted'::approval_status"
50,"is_active","boolean","","YES","","","","true"
51,"deleted_by","uuid","","YES","","","",""
52,"deleted_at","timestamp with time zone","","YES","","","6",""
53,"project_lat","double precision","","YES","53","","",""
54,"project_lng","double precision","","YES","53","","",""
55,"clocking_distance","numeric","","YES","10","2","",""
